AE_FAETC	AE_FCTAE	DAE_FAETC	DAE_FCTAE	VAE_FCTAE	SVAE_FCTAE	MMDVAE
0.7811315	0.8100751	0.7770989	0.7757889	0.7435667	0.1612233	0.8054097
0.7792454	0.7758417	0.7864579	0.7801432	0.7415285	0.1588997	0.7960685
0.7879307	0.8026021	0.7877759	0.7676089	0.7506365	0.1596961	0.7890681
0.7849791	0.7917183	0.7859039	0.7695229	0.7607532	0.1605268	0.8057815
0.7769965	0.7783137	0.7988504	0.7715407	0.7455589	0.1603015	0.788917
0.7791306	0.8076576	0.7758005	0.7748604	0.7484785	0.1583413	0.8029668
0.7825218	0.8094267	0.7855917	0.7790532	0.752673	0.1600561	0.7945554
0.7673347	0.7839233	0.7886169	0.7723716	0.7319163	0.1597115	0.788173
0.7741459	0.7985352	0.793893	0.763236	0.7467932	0.1588058	0.7955171
0.7593834	0.7984501	0.7848643	0.7795988	0.7445968	0.1604987	0.7929088
