"subjects"	"cluster.id"
"1"	"subject1"	12
"2"	"subject2"	11
"3"	"subject3"	12
"4"	"subject4"	12
"5"	"subject5"	14
"6"	"subject6"	9
"7"	"subject7"	12
"8"	"subject8"	1
"9"	"subject9"	11
"10"	"subject10"	11
"11"	"subject11"	1
"12"	"subject12"	12
"13"	"subject13"	7
"14"	"subject14"	11
"15"	"subject15"	12
"16"	"subject16"	5
"17"	"subject17"	2
"18"	"subject18"	7
"19"	"subject19"	1
"20"	"subject20"	7
"21"	"subject21"	4
"22"	"subject22"	3
"23"	"subject23"	10
"24"	"subject24"	11
"25"	"subject25"	1
"26"	"subject26"	1
"27"	"subject27"	12
"28"	"subject28"	5
"29"	"subject29"	12
"30"	"subject30"	5
"31"	"subject31"	7
"32"	"subject32"	5
"33"	"subject33"	8
"34"	"subject34"	12
"35"	"subject35"	7
"36"	"subject36"	12
"37"	"subject37"	6
"38"	"subject38"	2
"39"	"subject39"	5
"40"	"subject40"	7
"41"	"subject41"	5
"42"	"subject42"	12
"43"	"subject43"	11
"44"	"subject44"	12
"45"	"subject45"	15
"46"	"subject46"	2
"47"	"subject47"	6
"48"	"subject48"	14
"49"	"subject49"	5
"50"	"subject50"	6
"51"	"subject51"	12
"52"	"subject52"	15
"53"	"subject53"	12
"54"	"subject54"	8
"55"	"subject55"	13
"56"	"subject56"	9
"57"	"subject57"	7
"58"	"subject58"	13
"59"	"subject59"	5
"60"	"subject60"	11
"61"	"subject61"	7
"62"	"subject62"	1
"63"	"subject63"	15
"64"	"subject64"	7
"65"	"subject65"	12
"66"	"subject66"	3
"67"	"subject67"	9
"68"	"subject68"	5
"69"	"subject69"	5
"70"	"subject70"	3
"71"	"subject71"	13
"72"	"subject72"	5
"73"	"subject73"	15
"74"	"subject74"	11
"75"	"subject75"	2
"76"	"subject76"	12
"77"	"subject77"	1
"78"	"subject78"	2
"79"	"subject79"	9
"80"	"subject80"	1
"81"	"subject81"	12
"82"	"subject82"	7
"83"	"subject83"	10
"84"	"subject84"	11
"85"	"subject85"	15
"86"	"subject86"	12
"87"	"subject87"	2
"88"	"subject88"	8
"89"	"subject89"	11
"90"	"subject90"	12
"91"	"subject91"	2
"92"	"subject92"	5
"93"	"subject93"	1
"94"	"subject94"	4
"95"	"subject95"	12
"96"	"subject96"	4
"97"	"subject97"	3
"98"	"subject98"	9
"99"	"subject99"	2
"100"	"subject100"	1
