AE_FAETC	﻿AE_FCTAE	﻿DAE_FAETC	﻿DAE_FCTAE	﻿VAE_FCTAE	﻿LSTMVAE_FCTAE
0.7686	0.7753077	0.78601	0.8219333	0.7515	0.4608212
0.7666667	0.7911071	0.782693	0.8166	0.7611857	0.4539229
0.75355	0.7876333	0.788011	0.8121667	0.7651143	0.4404087
0.7576	0.7868333	0.7756981	0.8264	0.7584012	0.444895
0.7420833	0.793095	0.7764907	0.8163333	0.7577496	0.4528135
0.7601	0.7917452	0.7704681	0.8122667	0.7632258	0.4485148
0.7503833	0.7896333	0.7619731	0.8235	0.7605238	0.4548279
0.763819	0.769219	0.7753311	0.8115667	0.7674	0.4511056
0.7649667	0.7795667	0.7807456	0.8183	0.7581286	0.4587046
0.7444429	0.794719	0.7599756	0.8188286	0.7734583	0.4514359
